"","ID","MAE","sd_MAE"
"89","consumer-00000090.csv",0.0561110861966375,0.105890207581409
"90","consumer-00000091.csv",0.0595393761382313,0.110155019003343
"91","consumer-00000092.csv",0.0822220952071621,0.13355190457689
"92","consumer-00000093.csv",0.0431809352714862,0.102353888698657
"93","consumer-00000094.csv",0.049441558071957,0.0957143859792175
"94","consumer-00000095.csv",0.0369137163635508,0.0691146390610012
"95","consumer-00000096.csv",0.0602655793483524,0.0992348425979194
"96","consumer-00000097.csv",0.0339513574580699,0.0576131598406727
"97","consumer-00000098.csv",0.0752632600497646,0.107423020589728
"98","consumer-00000099.csv",0.054569175546503,0.135745642343782
"99","consumer-00000100.csv",0.0356963844043376,0.0718697166484376
